Zak;SQM;Vacant
822031514;295,59;0
822031913;219,255;2
822032614;288,63;0
822032714;307,775;0
822032814;330,11;0
822032914;357,1;0
822033014;399,29;0
822033714;182,15;0
822034414;408,53;0
822035414;180,53;0
822038314;95,2;0
822045614;332,27;0
822049714;57,4;1
822059214;758,58;0
822059314;272,97;0
822060614;98,45;0
822060714;51,3;0
822060914;106,2;0
822061014;48,2;0
822061114;102,7;0
822061214;106,2;0
822061314;106,2;0
822061414;102,7;0
822061514;102,7;0
822061714;106,2;0
822061814;106,2;0
822062014;102,2;0
822062313;108,58;0
822062413;116,76;0
822062613;137,89;0
822062813;58,38;0
822062913;103,08;0
822063213;129,73;0
822063313;102,4;0
822063713;138,28;0
822063813;116,76;0
822063913;48,2;0
822064013;116,76;1
822064113;99,58;0
822064913;206,58;0
822065013;169,42;0
822065113;206,58;0
822065213;206,58;0
822065313;206,57;0
822065413;206,58;0
822066411;294,275;0
822066511;298,5;0
822066911;310,6;0
822067411;308,4;1
822067511;329,3;0
822067611;281;0
822067711;312,27;0
822067811;291,41;1
822067911;298,75;0
822068011;310,79;0
822068111;299,205;0
822068211;315,27;1
822068311;297,16;0
822068413;187,63;0
822068513;205,82;0
822068613;134,71;0
822068713;192,02;0
822069012;287,15;1
822069112;268,35;0
822069212;292,6;1
822069312;323,36;0
822069512;308,99;0
822069612;314,35;0
822069712;293,22;0
822069912;268,35;1
822070012;300,9;1
822070212;307,8;0
822070312;267,2;0
822070412;299,85;0
822070512;292,35;0
822070712;283,39;0
822078214;104,13;0
822078314;140,75;0
822078414;143,33;0
822078614;143,33;0
822078714;140,75;0
822079014;104,13;0
822079114;139,33;0
822079314;86,13;0
822085413;65,09;0
822085513;92,63;0
822085613;65,09;0
822086611;352,45;1
822086711;349,67;0
822086811;346,19;0
822086911;334,44;0
822087011;374,71;0
822087111;356,05;0
822087211;354,09;0
822087311;365,99;0
822087411;358,045;0
822087511;328,29;0
822087611;363,49;0
822087711;367,46;1
822088011;374,76;0
822088111;365,89;1
822088211;358,63;0
822088311;356,89;0
822088411;381,95;0
822088511;359,64;1
822088811;384,39;0
822088911;366,71;2
822089011;378,505;1
822089111;380,35;0
822089211;363,84;0
822089311;350,54;0
822090114;267,86;0
822090214;273,605;0
822091014;260,655;0
822091114;274,96;0
822091214;264,385;1
822091314;249,16;0
822091413;412,34;0
822091513;330,5;0
822091614;327,2;2
822091714;330,01;0
822091814;317,445;0
822091914;317,68;2
822092014;323,325;0
822092114;327,095;0
822092214;327,625;1
822092314;315,54;1
822092414;318,59;0
822092512;336,75;0
822092612;351,615;0
822092712;347,22;0
822092812;339,385;0
822092912;347,3;0
822093012;353,725;1
822093112;353,02;0
822093212;345,49;0
822093312;356;0
822093412;340,61;0
822093512;352,725;1
822093612;351,475;0
822093712;347,72;1
822093812;350,3;0
822093912;327,36;1
822094012;347,44;0
822094112;336,695;0
822094212;360,385;0
822094312;364,13;0
822094412;351,8;0
822094512;343,73;0
822094612;320,835;0
822094712;314,73;0
822094812;324,3;0
822094912;330,28;0
